1stFlrSF,2ndFlrSF,3SsnPorch,AllRooms,Alley,AsphShn,Bath,BedroomAbvGr,BldgType,BsmtBath,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_ALQ,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,BsmtQual,BsmtUnfSF,CentralAir_Y,Density,Dortmund_Nordstadt,Electrical,EnclosedPorch,ExAsbShng,ExBrkComm,ExBrkFace,ExCBlock,ExCemntBd,ExHdBoard,ExImStucc,ExMetalSd,ExPlywood,ExStone,ExStucco,ExVinylSd,ExWdSdng,ExWdShng,ExterCond,ExterQual,Exterior2nd_Other,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,FireplaceQu,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Functional,GarageArea,GarageCars,GarageCond,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,GarageQual,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageYrBlt,GoodNbh,GrLivArea,Heating,HeatingQC,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MasVnrArea,MasVnrType,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MiscVal,MoSold,NearPark,NearRailroad,NearStreet,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RelFirePlaces,RelKitchen,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,VeryGoodNbh,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
1040,0,0,6.0,0,0,1.0,3,1,1.0,3,0,906,0,0,0,0,0,1,0,0,0,0,0,0,1,3,134,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,384,1,3,0,0,1,3,0,0,0,0,0,1,1965.0,0,1040,1,5,0,0,1,0,0,0,0,0,11,1,3,0,1,11200,0,70.0,0,0,20,0.0,0,0,0,0,0,0,2,0,0,0,0,5,5,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,5,1040,0,0,1965,1965,2008,129500
1182,1142,0,14.0,0,0,3.0,4,1,1.0,3,0,998,0,0,0,1,0,0,0,0,0,0,0,0,1,5,177,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,4,2,0,0,1,0,0,0,0,736,3,3,1,0,0,3,0,0,0,1,0,0,2005.0,1,2324,1,5,0,0,0,0,0,1,0,0,12,1,5,0,1,11924,0,85.0,1,0,60,286.0,1,0,0,0,0,0,7,0,0,0,21,5,9,1,0,0,8,5,0,0,0,1,0,0,1,1,0,2,11,1175,1,147,2005,2006,2006,345000
912,0,0,5.0,0,0,1.0,2,1,1.0,3,0,737,0,1,0,0,0,0,0,0,0,0,0,0,1,3,175,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,352,1,3,0,0,1,3,0,0,0,0,0,1,1962.0,0,912,1,3,0,0,1,0,0,0,0,0,13,1,3,0,1,12968,0,70.04995836802665,1,0,20,0.0,0,0,0,0,0,0,9,0,0,0,0,6,5,1,0,0,0,3,0,0,0,1,0,0,0,0,176,2,4,912,0,140,1962,1962,2008,144000
1494,0,0,9.0,0,0,2.0,3,1,0.0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1494,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,840,3,3,0,1,0,3,0,1,0,0,0,0,2006.0,0,1494,1,5,0,0,1,0,0,0,0,0,14,1,4,0,1,10652,0,91.0,1,0,20,306.0,1,0,0,0,0,0,8,0,0,0,33,5,7,1,0,0,4,4,0,1,0,0,0,0,1,1,0,2,7,1494,0,160,2006,2007,2007,279500
1253,0,0,6.5,0,0,1.5,2,1,1.0,3,0,733,0,0,1,0,0,0,0,0,0,0,0,0,1,3,520,1,1,0,1,176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,1,0,0,2,1,0,1,0,0,0,0,0,352,1,3,0,1,0,3,0,1,0,0,0,0,1960.0,0,1253,1,3,0,0,1,0,0,0,0,0,15,1,3,0,1,10920,1,70.04995836802665,1,0,20,212.0,1,0,0,0,0,0,5,0,0,0,213,5,6,1,0,0,2,3,0,0,0,1,0,0,0,0,0,2,5,1253,0,0,1960,1960,2008,157000
854,0,0,6.0,0,0,1.0,2,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,832,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,576,2,3,0,0,1,3,0,0,0,0,0,1,1991.0,0,854,1,5,0,1,0,0,0,0,0,0,16,1,3,0,1,6120,1,51.0,0,0,45,0.0,0,0,0,0,0,0,7,0,0,0,112,8,7,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,5,832,0,48,1929,2001,2007,132000
1004,0,0,6.0,0,0,1.0,2,1,1.0,3,0,578,0,1,0,0,0,0,0,0,0,0,0,0,1,3,426,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,3,1,0,1,0,0,0,0,0,480,2,3,1,0,0,3,0,1,0,0,0,0,1970.0,0,1004,1,5,0,0,1,0,0,0,0,0,17,1,3,0,1,11241,1,70.04995836802665,1,0,20,180.0,1,0,0,1,0,700,3,0,0,0,0,7,6,1,0,0,3,3,0,1,0,0,0,0,0,0,0,2,5,1004,0,0,1970,1970,2010,149000
1296,0,0,8.0,0,0,2.0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,516,2,3,0,0,1,3,0,0,0,0,1,0,1967.0,0,1296,1,3,0,0,1,0,0,0,0,0,18,2,3,0,1,10791,0,72.0,0,0,90,0.0,0,0,0,1,0,500,10,0,0,0,0,5,4,1,0,0,0,6,0,1,0,0,0,0,0,0,0,2,6,0,0,0,1967,1967,2006,90000
1114,0,0,7.5,0,0,1.5,3,1,1.0,3,0,646,0,0,0,1,0,0,0,0,0,0,0,0,1,3,468,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,576,2,3,0,0,1,3,0,0,0,0,0,1,2004.0,0,1114,1,5,0,0,1,0,0,0,0,0,19,1,4,0,1,13695,0,66.0,0,0,20,0.0,0,0,0,0,0,0,6,0,1,0,102,5,5,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,6,1114,0,0,2004,2004,2008,159000
1339,0,0,7.0,0,0,1.0,3,1,0.0,3,0,504,0,0,0,0,1,0,0,0,0,0,0,0,1,3,525,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,294,1,3,0,0,1,3,0,1,0,0,0,0,1958.0,0,1339,1,3,0,0,1,0,0,0,0,0,20,1,3,0,1,7560,0,70.0,0,0,20,0.0,0,0,0,0,0,0,5,0,0,0,0,6,5,1,0,0,0,3,0,0,0,1,0,0,0,0,0,2,6,1029,0,0,1958,1965,2009,139000
1158,1218,0,12.5,0,0,3.5,4,1,0.0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1158,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,853,3,3,0,1,0,3,0,0,0,1,0,0,2005.0,1,2376,1,5,0,0,0,0,0,1,0,0,21,1,4,0,1,14215,1,101.0,1,0,60,380.0,1,0,0,0,0,0,11,0,0,0,154,5,8,1,0,0,4,4,0,1,0,0,0,0,1,1,0,2,9,1158,1,240,2005,2006,2006,325300
1108,0,0,7.0,2,0,1.0,3,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,637,1,2,1,0,205,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1,0,0,0,4,1,0,0,1,0,0,0,0,280,1,3,0,0,1,3,0,1,0,0,0,0,1930.0,0,1108,1,5,0,1,0,0,0,0,0,0,22,1,4,1,1,7449,0,57.0,0,0,45,0.0,0,0,0,0,0,0,6,0,0,0,0,7,7,0,0,0,4,4,0,1,0,0,0,0,0,0,0,2,6,637,0,0,1930,1950,2007,139400
1795,0,0,9.0,0,0,2.0,3,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1777,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,534,2,3,0,1,0,3,0,1,0,0,0,0,2002.0,0,1795,1,5,0,0,1,0,0,0,0,0,23,1,4,0,1,9742,0,75.0,0,0,20,281.0,1,0,0,0,0,0,9,0,0,0,159,5,8,1,0,0,4,4,0,0,0,1,0,0,0,0,0,2,7,1777,0,171,2002,2002,2008,230000
1060,0,0,7.0,0,0,1.0,3,1,1.0,3,0,840,0,0,0,1,0,0,0,0,0,0,0,0,1,4,200,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,1,0,0,1,0,0,0,0,572,2,3,0,0,1,3,0,1,0,0,0,0,1976.0,0,1060,1,3,0,0,1,0,0,0,0,0,24,1,3,0,1,4224,0,44.0,0,0,120,0.0,0,0,0,0,0,0,6,0,0,0,110,7,5,1,0,0,3,3,0,1,0,0,0,0,0,0,0,2,6,1040,0,100,1976,1976,2007,129900
1060,0,0,7.0,0,0,1.0,3,1,1.0,3,1,188,668,0,0,0,0,1,0,1,0,0,0,0,0,3,204,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,270,1,3,0,0,1,3,0,1,0,0,0,0,1968.0,0,1060,1,5,0,0,1,0,0,0,0,0,25,1,4,0,1,8246,0,70.04995836802665,1,0,20,0.0,0,0,0,0,0,0,5,0,0,0,90,8,5,1,0,0,3,4,0,1,0,0,0,0,0,0,0,2,6,1060,0,406,1968,2001,2010,154000
1600,0,0,9.0,0,0,2.0,3,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1566,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,890,3,3,0,1,0,3,0,1,0,0,0,0,2007.0,1,1600,1,5,0,0,1,0,0,0,0,0,26,1,4,0,1,14230,1,110.0,0,0,20,640.0,1,0,0,0,0,0,7,0,0,0,56,5,8,1,0,0,4,4,0,1,0,0,0,0,0,0,0,2,7,1566,1,0,2007,2007,2009,256300
900,0,0,6.0,0,0,1.0,3,1,0.5,3,1,234,486,0,1,0,0,0,0,0,0,0,0,1,0,3,180,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,576,2,3,0,0,1,3,0,0,0,0,0,1,2005.0,0,900,1,3,0,0,1,0,0,0,0,0,27,1,4,0,1,7200,1,60.0,0,0,20,0.0,0,0,0,0,0,0,5,0,0,0,32,7,5,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,5,900,0,222,1951,2000,2010,134800
1704,0,0,9.0,0,0,2.0,3,1,1.0,3,0,1218,0,0,0,1,0,0,0,0,0,0,0,0,1,5,486,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,772,3,3,0,1,0,3,0,1,0,0,0,0,2008.0,1,1704,1,5,0,0,1,0,0,0,0,0,28,1,4,0,1,11478,0,98.0,0,0,20,200.0,1,0,0,0,0,0,5,0,0,0,50,5,8,1,0,0,4,4,0,1,0,0,0,0,0,0,0,2,7,1704,1,0,2007,2008,2010,306000
1600,0,0,7.0,0,0,1.0,2,1,1.0,3,3,1277,0,0,1,0,0,0,0,0,0,0,0,0,1,3,207,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,4,2,0,1,0,0,0,0,0,319,1,3,0,1,0,3,0,1,0,0,0,0,1957.0,0,1600,1,3,0,0,1,0,0,0,0,0,29,1,3,0,1,16321,1,47.0,1,0,20,0.0,0,0,0,0,0,0,12,0,0,0,258,6,5,1,0,0,8,3,0,1,0,0,0,0,0,0,0,2,6,1484,0,288,1957,1997,2006,207500
520,0,0,5.0,0,0,1.0,1,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,520,0,2,1,1,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,240,1,3,0,0,1,2,0,0,0,0,0,1,1920.0,0,520,1,2,0,0,1,0,0,0,0,0,30,1,2,0,1,6324,0,60.0,1,0,30,0.0,0,0,0,0,0,0,5,0,1,1,0,6,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,4,520,0,49,1927,1950,2008,68500
649,668,0,7.0,2,0,1.0,3,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,649,0,3,1,1,172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,250,1,2,0,0,1,3,0,0,0,0,0,1,1920.0,0,1317,1,3,0,0,0,0,0,1,0,0,31,1,3,0,1,8500,0,50.0,0,0,70,0.0,0,0,0,0,0,0,7,0,0,1,54,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,6,649,0,0,1920,1950,2008,40000
1228,0,0,7.5,0,0,1.5,3,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1228,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,271,1,3,0,0,1,3,0,1,0,0,0,0,1966.0,0,1228,1,4,0,0,1,0,0,0,0,0,32,1,4,0,1,8544,1,70.04995836802665,1,0,20,0.0,0,0,0,0,0,0,6,0,0,0,65,6,5,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,6,1228,0,0,1966,2006,2008,149350
1234,0,0,9.0,0,0,2.0,3,1,0.0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1234,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,484,2,3,0,1,0,3,0,1,0,0,0,0,2007.0,0,1234,1,5,0,0,1,0,0,0,0,0,33,1,4,0,1,11049,1,85.0,0,0,20,0.0,0,0,0,0,0,0,1,0,0,0,30,5,8,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,7,1234,0,0,2007,2007,2008,179900
1700,0,0,7.5,0,0,1.5,4,1,0.5,3,0,1018,0,0,0,0,0,1,0,0,0,0,0,0,1,3,380,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,1,0,1,0,0,0,0,0,447,2,3,0,1,0,3,0,1,0,0,0,0,1959.0,0,1700,1,4,0,0,1,0,0,0,0,0,34,1,4,0,1,10552,0,70.0,1,0,20,0.0,0,0,0,0,0,0,4,0,0,0,38,5,5,1,0,0,4,4,0,0,0,1,0,0,0,0,0,2,6,1398,0,0,1959,1959,2010,165500
1561,0,0,8.0,0,0,2.0,2,1,1.0,3,0,1153,0,0,0,1,0,0,0,0,0,0,0,0,1,5,408,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,4,1,0,0,1,0,0,0,0,556,2,3,1,0,0,3,0,1,0,0,0,0,2005.0,1,1561,1,5,0,0,1,0,0,0,0,0,35,1,5,0,1,7313,0,60.0,0,0,120,246.0,1,0,0,0,0,0,8,0,0,0,47,5,9,1,0,0,4,5,0,0,0,1,0,0,0,0,0,2,6,1561,1,203,2005,2005,2007,277500
1132,1320,0,12.5,0,0,3.5,4,1,0.0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1117,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,691,3,3,1,0,0,3,0,0,0,1,0,0,2004.0,1,2452,1,5,0,0,0,0,0,1,0,0,36,1,4,0,1,13418,0,108.0,0,0,60,132.0,1,0,0,0,0,0,9,0,0,0,32,5,8,1,0,0,4,4,0,1,0,0,0,0,0,0,0,2,9,1117,1,113,2004,2005,2006,309000
1097,0,0,7.5,0,0,1.5,3,1,0.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1097,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,672,2,3,0,0,1,3,0,1,0,0,0,0,1995.0,0,1097,1,5,0,0,1,0,0,0,0,0,37,1,3,0,1,10859,1,112.0,0,0,20,0.0,0,0,0,0,0,0,6,0,0,0,64,5,5,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,6,1097,0,392,1994,1995,2009,145000
1297,0,0,6.0,0,0,1.0,3,1,0.5,3,0,1213,0,0,0,0,0,1,0,0,0,0,0,0,1,3,84,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,3,1,0,1,0,0,0,0,0,498,2,3,1,0,0,3,0,1,0,0,0,0,1954.0,0,1297,1,4,0,0,1,0,0,0,0,0,38,1,3,0,1,8532,0,74.0,0,0,20,650.0,1,0,0,0,0,0,10,0,0,0,0,6,5,1,0,0,3,3,0,0,0,1,0,0,0,0,0,2,5,1297,0,0,1954,1990,2009,153000
1057,0,0,6.0,0,0,1.0,3,1,1.0,3,0,731,0,0,0,1,0,0,0,0,0,0,0,0,1,3,326,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,246,1,3,0,0,1,3,0,0,0,0,0,1,1953.0,0,1057,1,3,0,0,1,0,0,0,0,0,39,1,4,0,1,7922,0,68.0,0,0,20,0.0,0,0,0,0,0,0,1,0,0,0,52,7,5,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,5,1057,0,0,1953,2007,2010,109000
