,Anfangswert 0,Anfangswert 2786,Anfangswert 5572,Anfangswert 8358
310,0.336,0.2146,0.0932,0.9718
311,0.2816,0.9202,0.5588,0.1974
312,0.1872,0.5858,0.9844,0.383
313,0.0528,0.2114,0.37,0.5286
314,0.8784,0.797,0.7156,0.6342
315,0.664,0.3426,0.0212,0.6998
316,0.4096,0.8482,0.2868,0.7254
317,0.1152,0.3138,0.5124,0.711
318,0.7808,0.7394,0.698,0.6566
319,0.4064,0.125,0.8436,0.5622
320,0.992,0.4706,0.9492,0.4278
321,0.5376,0.7762,0.0148,0.2534
322,0.0432,0.0418,0.0404,0.039
323,0.5088,0.2674,0.026,0.7846
324,0.9344,0.453,0.9716,0.4902
325,0.32,0.5986,0.8772,0.1558
326,0.6656,0.7042,0.7428,0.7814
327,0.9712,0.7698,0.5684,0.367
328,0.2368,0.7954,0.354,0.9126
329,0.4624,0.781,0.0996,0.4182
330,0.648,0.7266,0.8052,0.8838
331,0.7936,0.6322,0.4708,0.3094
332,0.8992,0.4978,0.0964,0.695
333,0.9648,0.3234,0.682,0.0406
334,0.9904,0.109,0.2276,0.3462
335,0.976,0.8546,0.7332,0.6118
336,0.9216,0.5602,0.1988,0.8374
337,0.8272,0.2258,0.6244,0.023
338,0.6928,0.8514,0.01,0.1686
339,0.5184,0.437,0.3556,0.2742
340,0.304,0.9826,0.6612,0.3398
341,0.0496,0.4882,0.9268,0.3654
342,0.7552,0.9538,0.1524,0.351
343,0.4208,0.3794,0.338,0.2966
344,0.0464,0.765,0.4836,0.2022
345,0.632,0.1106,0.5892,0.0678
346,0.1776,0.4162,0.6548,0.8934
347,0.6832,0.6818,0.6804,0.679
348,0.1488,0.9074,0.666,0.4246
349,0.5744,0.093,0.6116,0.1302
350,0.96,0.2386,0.5172,0.7958
351,0.3056,0.3442,0.3828,0.4214
352,0.6112,0.4098,0.2084,0.007
353,0.8768,0.4354,0.994,0.5526
354,0.1024,0.421,0.7396,0.0582
355,0.288,0.3666,0.4452,0.5238
356,0.4336,0.2722,0.1108,0.9494
357,0.5392,0.1378,0.7364,0.335
358,0.6048,0.9634,0.322,0.6806
359,0.6304,0.749,0.8676,0.9862
360,0.616,0.4946,0.3732,0.2518
361,0.5616,0.2002,0.8388,0.4774
362,0.4672,0.8658,0.2644,0.663
363,0.3328,0.4914,0.65,0.8086
364,0.1584,0.077,0.9956,0.9142
365,0.944,0.6226,0.3012,0.9798
366,0.6896,0.1282,0.5668,0.0054
367,0.3952,0.5938,0.7924,0.991
368,0.0608,0.0194,0.978,0.9366
369,0.6864,0.405,0.1236,0.8422
370,0.272,0.7506,0.2292,0.7078
371,0.8176,0.0562,0.2948,0.5334
372,0.3232,0.3218,0.3204,0.319
373,0.7888,0.5474,0.306,0.0646
374,0.2144,0.733,0.2516,0.7702
375,0.6,0.8786,0.1572,0.4358
376,0.9456,0.9842,0.0228,0.0614
377,0.2512,0.0498,0.8484,0.647
378,0.5168,0.0754,0.634,0.1926
379,0.7424,0.061,0.3796,0.6982
380,0.928,0.0066,0.0852,0.1638
381,0.0736,0.9122,0.7508,0.5894
382,0.1792,0.7778,0.3764,0.975
383,0.2448,0.6034,0.962,0.3206
384,0.2704,0.389,0.5076,0.6262
385,0.256,0.1346,0.0132,0.8918
386,0.2016,0.8402,0.4788,0.1174
387,0.1072,0.5058,0.9044,0.303
388,0.9728,0.1314,0.29,0.4486
389,0.7984,0.717,0.6356,0.5542
390,0.584,0.2626,0.9412,0.6198
391,0.3296,0.7682,0.2068,0.6454
392,0.0352,0.2338,0.4324,0.631
393,0.7008,0.6594,0.618,0.5766
394,0.3264,0.045,0.7636,0.4822
395,0.912,0.3906,0.8692,0.3478
396,0.4576,0.6962,0.9348,0.1734
397,0.9632,0.9618,0.9604,0.959
398,0.4288,0.1874,0.946,0.7046
399,0.8544,0.373,0.8916,0.4102
400,0.24,0.5186,0.7972,0.0758
401,0.5856,0.6242,0.6628,0.7014
402,0.8912,0.6898,0.4884,0.287
403,0.1568,0.7154,0.274,0.8326
404,0.3824,0.701,0.0196,0.3382
405,0.568,0.6466,0.7252,0.8038
406,0.7136,0.5522,0.3908,0.2294
407,0.8192,0.4178,0.0164,0.615
408,0.8848,0.2434,0.602,0.9606
409,0.9104,0.029,0.1476,0.2662
410,0.896,0.7746,0.6532,0.5318
411,0.8416,0.4802,0.1188,0.7574
412,0.7472,0.1458,0.5444,0.943
413,0.6128,0.7714,0.93,0.0886
414,0.4384,0.357,0.2756,0.1942
415,0.224,0.9026,0.5812,0.2598
416,0.9696,0.4082,0.8468,0.2854
417,0.6752,0.8738,0.0724,0.271
418,0.3408,0.2994,0.258,0.2166
419,0.9664,0.685,0.4036,0.1222
420,0.552,0.0306,0.5092,0.9878
421,0.0976,0.3362,0.5748,0.8134
422,0.6032,0.6018,0.6004,0.599
423,0.0688,0.8274,0.586,0.3446
424,0.4944,0.013,0.5316,0.0502
425,0.88,0.1586,0.4372,0.7158
426,0.2256,0.2642,0.3028,0.3414
427,0.5312,0.3298,0.1284,0.927
428,0.7968,0.3554,0.914,0.4726
429,0.0224,0.341,0.6596,0.9782
430,0.208,0.2866,0.3652,0.4438
431,0.3536,0.1922,0.0308,0.8694
432,0.4592,0.0578,0.6564,0.255
433,0.5248,0.8834,0.242,0.6006
434,0.5504,0.669,0.7876,0.9062
435,0.536,0.4146,0.2932,0.1718
436,0.4816,0.1202,0.7588,0.3974
437,0.3872,0.7858,0.1844,0.583
438,0.2528,0.4114,0.57,0.7286
439,0.0784,0.997,0.9156,0.8342
440,0.864,0.5426,0.2212,0.8998
441,0.6096,0.0482,0.4868,0.9254
442,0.3152,0.5138,0.7124,0.911
443,0.9808,0.9394,0.898,0.8566
444,0.6064,0.325,0.0436,0.7622
445,0.192,0.6706,0.1492,0.6278
446,0.7376,0.9762,0.2148,0.4534
447,0.2432,0.2418,0.2404,0.239
448,0.7088,0.4674,0.226,0.9846
449,0.1344,0.653,0.1716,0.6902
450,0.52,0.7986,0.0772,0.3558
451,0.8656,0.9042,0.9428,0.9814
452,0.1712,0.9698,0.7684,0.567
453,0.4368,0.9954,0.554,0.1126
454,0.6624,0.981,0.2996,0.6182
455,0.848,0.9266,0.0052,0.0838
456,0.9936,0.8322,0.6708,0.5094
457,0.0992,0.6978,0.2964,0.895
458,0.1648,0.5234,0.882,0.2406
459,0.1904,0.309,0.4276,0.5462
460,0.176,0.0546,0.9332,0.8118
461,0.1216,0.7602,0.3988,0.0374
462,0.0272,0.4258,0.8244,0.223
463,0.8928,0.0514,0.21,0.3686
464,0.7184,0.637,0.5556,0.4742
465,0.504,0.1826,0.8612,0.5398
466,0.2496,0.6882,0.1268,0.5654
467,0.9552,0.1538,0.3524,0.551
468,0.6208,0.5794,0.538,0.4966
469,0.2464,0.965,0.6836,0.4022
470,0.832,0.3106,0.7892,0.2678
471,0.3776,0.6162,0.8548,0.0934
472,0.8832,0.8818,0.8804,0.879
473,0.3488,0.1074,0.866,0.6246
474,0.7744,0.293,0.8116,0.3302
475,0.16,0.4386,0.7172,0.9958
476,0.5056,0.5442,0.5828,0.6214
477,0.8112,0.6098,0.4084,0.207
478,0.0768,0.6354,0.194,0.7526
479,0.3024,0.621,0.9396,0.2582
480,0.488,0.5666,0.6452,0.7238
481,0.6336,0.4722,0.3108,0.1494
482,0.7392,0.3378,0.9364,0.535
483,0.8048,0.1634,0.522,0.8806
484,0.8304,0.949,0.0676,0.1862
485,0.816,0.6946,0.5732,0.4518
486,0.7616,0.4002,0.0388,0.6774
487,0.6672,0.0658,0.4644,0.863
488,0.5328,0.6914,0.85,0.0086
489,0.3584,0.277,0.1956,0.1142
490,0.144,0.8226,0.5012,0.1798
491,0.8896,0.3282,0.7668,0.2054
492,0.5952,0.7938,0.9924,0.191
493,0.2608,0.2194,0.178,0.1366
494,0.8864,0.605,0.3236,0.0422
495,0.472,0.9506,0.4292,0.9078
496,0.0176,0.2562,0.4948,0.7334
497,0.5232,0.5218,0.5204,0.519
498,0.9888,0.7474,0.506,0.2646
499,0.4144,0.933,0.4516,0.9702
500,0.8,0.0786,0.3572,0.6358
501,0.1456,0.1842,0.2228,0.2614
502,0.4512,0.2498,0.0484,0.847
503,0.7168,0.2754,0.834,0.3926
504,0.9424,0.261,0.5796,0.8982
505,0.128,0.2066,0.2852,0.3638
506,0.2736,0.1122,0.9508,0.7894
507,0.3792,0.9778,0.5764,0.175
508,0.4448,0.8034,0.162,0.5206
509,0.4704,0.589,0.7076,0.8262
510,0.456,0.3346,0.2132,0.0918
511,0.4016,0.0402,0.6788,0.3174
512,0.3072,0.7058,0.1044,0.503
513,0.1728,0.3314,0.49,0.6486
514,0.9984,0.917,0.8356,0.7542
515,0.784,0.4626,0.1412,0.8198
516,0.5296,0.9682,0.4068,0.8454
517,0.2352,0.4338,0.6324,0.831
518,0.9008,0.8594,0.818,0.7766
519,0.5264,0.245,0.9636,0.6822
520,0.112,0.5906,0.0692,0.5478
521,0.6576,0.8962,0.1348,0.3734
522,0.1632,0.1618,0.1604,0.159
523,0.6288,0.3874,0.146,0.9046
524,0.0544,0.573,0.0916,0.6102
525,0.44,0.7186,0.9972,0.2758
526,0.7856,0.8242,0.8628,0.9014
527,0.0912,0.8898,0.6884,0.487
528,0.3568,0.9154,0.474,0.0326
529,0.5824,0.901,0.2196,0.5382
530,0.768,0.8466,0.9252,0.0038
531,0.9136,0.7522,0.5908,0.4294
532,0.0192,0.6178,0.2164,0.815
533,0.0848,0.4434,0.802,0.1606
534,0.1104,0.229,0.3476,0.4662
535,0.096,0.9746,0.8532,0.7318
536,0.0416,0.6802,0.3188,0.9574
537,0.9472,0.3458,0.7444,0.143
538,0.8128,0.9714,0.13,0.2886
539,0.6384,0.557,0.4756,0.3942
540,0.424,0.1026,0.7812,0.4598
541,0.1696,0.6082,0.0468,0.4854
542,0.8752,0.0738,0.2724,0.471
543,0.5408,0.4994,0.458,0.4166
544,0.1664,0.885,0.6036,0.3222
545,0.752,0.2306,0.7092,0.1878
546,0.2976,0.5362,0.7748,0.0134
547,0.8032,0.8018,0.8004,0.799
548,0.2688,0.0274,0.786,0.5446
549,0.6944,0.213,0.7316,0.2502
550,0.08,0.3586,0.6372,0.9158
551,0.4256,0.4642,0.5028,0.5414
552,0.7312,0.5298,0.3284,0.127
553,0.9968,0.5554,0.114,0.6726
554,0.2224,0.541,0.8596,0.1782
555,0.408,0.4866,0.5652,0.6438
556,0.5536,0.3922,0.2308,0.0694
557,0.6592,0.2578,0.8564,0.455
558,0.7248,0.0834,0.442,0.8006
559,0.7504,0.869,0.9876,0.1062
560,0.736,0.6146,0.4932,0.3718
561,0.6816,0.3202,0.9588,0.5974
562,0.5872,0.9858,0.3844,0.783
563,0.4528,0.6114,0.77,0.9286
564,0.2784,0.197,0.1156,0.0342
565,0.064,0.7426,0.4212,0.0998
566,0.8096,0.2482,0.6868,0.1254
567,0.5152,0.7138,0.9124,0.111
568,0.1808,0.1394,0.098,0.0566
569,0.8064,0.525,0.2436,0.9622
570,0.392,0.8706,0.3492,0.8278
571,0.9376,0.1762,0.4148,0.6534
572,0.4432,0.4418,0.4404,0.439
573,0.9088,0.6674,0.426,0.1846
574,0.3344,0.853,0.3716,0.8902
575,0.72,0.9986,0.2772,0.5558
576,0.0656,0.1042,0.1428,0.1814
577,0.3712,0.1698,0.9684,0.767
578,0.6368,0.1954,0.754,0.3126
579,0.8624,0.181,0.4996,0.8182
580,0.048,0.1266,0.2052,0.2838
581,0.1936,0.0322,0.8708,0.7094
582,0.2992,0.8978,0.4964,0.095
583,0.3648,0.7234,0.082,0.4406
584,0.3904,0.509,0.6276,0.7462
585,0.376,0.2546,0.1332,0.0118
586,0.3216,0.9602,0.5988,0.2374
587,0.2272,0.6258,0.0244,0.423
588,0.0928,0.2514,0.41,0.5686
589,0.9184,0.837,0.7556,0.6742
590,0.704,0.3826,0.0612,0.7398
591,0.4496,0.8882,0.3268,0.7654
592,0.1552,0.3538,0.5524,0.751
593,0.8208,0.7794,0.738,0.6966
594,0.4464,0.165,0.8836,0.6022
595,0.032,0.5106,0.9892,0.4678
596,0.5776,0.8162,0.0548,0.2934
597,0.0832,0.0818,0.0804,0.079
598,0.5488,0.3074,0.066,0.8246
599,0.9744,0.493,0.0116,0.5302
600,0.36,0.6386,0.9172,0.1958
601,0.7056,0.7442,0.7828,0.8214
602,0.0112,0.8098,0.6084,0.407
603,0.2768,0.8354,0.394,0.9526
604,0.5024,0.821,0.1396,0.4582
605,0.688,0.7666,0.8452,0.9238
606,0.8336,0.6722,0.5108,0.3494
607,0.9392,0.5378,0.1364,0.735
608,0.0048,0.3634,0.722,0.0806
609,0.0304,0.149,0.2676,0.3862
610,0.016,0.8946,0.7732,0.6518
611,0.9616,0.6002,0.2388,0.8774
612,0.8672,0.2658,0.6644,0.063
613,0.7328,0.8914,0.05,0.2086
614,0.5584,0.477,0.3956,0.3142
615,0.344,0.0226,0.7012,0.3798
616,0.0896,0.5282,0.9668,0.4054
617,0.7952,0.9938,0.1924,0.391
618,0.4608,0.4194,0.378,0.3366
619,0.0864,0.805,0.5236,0.2422
620,0.672,0.1506,0.6292,0.1078
621,0.2176,0.4562,0.6948,0.9334
622,0.7232,0.7218,0.7204,0.719
623,0.1888,0.9474,0.706,0.4646
624,0.6144,0.133,0.6516,0.1702
625,0.0,0.2786,0.5572,0.8358
626,0.3456,0.3842,0.4228,0.4614
627,0.6512,0.4498,0.2484,0.047
628,0.9168,0.4754,0.034,0.5926
629,0.1424,0.461,0.7796,0.0982
630,0.328,0.4066,0.4852,0.5638
631,0.4736,0.3122,0.1508,0.9894
632,0.5792,0.1778,0.7764,0.375
633,0.6448,0.0034,0.362,0.7206
634,0.6704,0.789,0.9076,0.0262
635,0.656,0.5346,0.4132,0.2918
636,0.6016,0.2402,0.8788,0.5174
637,0.5072,0.9058,0.3044,0.703
638,0.3728,0.5314,0.69,0.8486
639,0.1984,0.117,0.0356,0.9542
640,0.984,0.6626,0.3412,0.0198
641,0.7296,0.1682,0.6068,0.0454
642,0.4352,0.6338,0.8324,0.031
643,0.1008,0.0594,0.018,0.9766
644,0.7264,0.445,0.1636,0.8822
645,0.312,0.7906,0.2692,0.7478
646,0.8576,0.0962,0.3348,0.5734
647,0.3632,0.3618,0.3604,0.359
648,0.8288,0.5874,0.346,0.1046
649,0.2544,0.773,0.2916,0.8102
650,0.64,0.9186,0.1972,0.4758
651,0.9856,0.0242,0.0628,0.1014
652,0.2912,0.0898,0.8884,0.687
653,0.5568,0.1154,0.674,0.2326
654,0.7824,0.101,0.4196,0.7382
655,0.968,0.0466,0.1252,0.2038
